scientific_name,year_discovered,family_scientific_name
"Spiza Bonaparte, 1824",1824,(SELECT scientific_name FROM families WHERE scientific_name = 'Cardinalidae')
"Oxyura Bonaparte, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Cerorhinca Bonaparte, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Alcidae')
"Perisoreus Bonaparte, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Corvidae')
"Spizella Bonaparte, 1832",1832,(SELECT scientific_name FROM families WHERE scientific_name = 'Passerellidae')
"Paroaria Bonaparte, 1832",1832,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Cettia Bonaparte, 1834",1834,(SELECT scientific_name FROM families WHERE scientific_name = 'Cettiidae')
"Camptorhynchus Bonaparte, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Antrostomus Bonaparte, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Caprimulgidae')
"Starnoenas Bonaparte, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Zenaida Bonaparte, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Calamospiza Bonaparte, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Passerellidae')
"Passerculus Bonaparte, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Passerellidae')
"Cardinalis Bonaparte, 1838",1838,(SELECT scientific_name FROM families WHERE scientific_name = 'Cardinalidae')
"Bulweria Bonaparte, 1843",1843,(SELECT scientific_name FROM families WHERE scientific_name = 'Procellariidae')
"Agelastes Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Numididae')
"Florisuga Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Discosura Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Ramphomicron Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Loddigesia Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Lafresnaya Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Heliomaster Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Thaumastura Bonaparte, 1850",1850,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
