scientific_name,common_name,year_discovered,genus_scientific_name
"Cinnyris pembae Reichenow, 1905",Pemba Sunbird,1905,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cinnyris Cuvier, 1816')"
"Cinnyris manoensis Reichenow, 1907",Eastern Miombo Sunbird,1907,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cinnyris Cuvier, 1816')"
"Lagonosticta umbrinodorsalis Reichenow, 1910",Chad Firefinch,1910,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lagonosticta Cabanis, 1851')"
"Cinnyris hofmanni Reichenow, 1915",Hofmanns Sunbird,1915,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cinnyris Cuvier, 1816')"
"Puffinus heinrothi Reichenow, 1919",Heinroths Shearwater,1919,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Puffinus Brisson, 1760')"
"Mitu salvini Reinhardt, 1879",Salvins Curassow,1879,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Mitu Lesson, RP, 1831')"
"Megaxenops parnaguae Reiser, 1905",Great Xenops,1905,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Megaxenops Reiser, 1905')"
"Synallaxis hellmayri Reiser, 1905",Red-shouldered Spinetail,1905,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Synallaxis Vieillot, 1818')"
"Cranioleuca weskei Remsen, 1984",Vilcabamba Spinetail,1984,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cranioleuca Reichenbach, 1853')"
"Atlapetes terborghi Remsen, 1993",Vilcabamba Brushfinch,1993,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Atlapetes Wagler, 1831')"
"Sporophila beltoni Repenning & Fontana, 2013",Tropeiro Seedeater,2013,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sporophila Cabanis, 1844')"
"Locustella portenta Rheindt, Prawiradilaga, Ashari, Suparno & Gwee, 2020",Taliabu Bush Warbler,2020,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Locustella Kaup, 1829')"
"Rhipidura habibiei Rheindt, Prawiradilaga, Ashari, Suparno & Ng, NSR, 2020",Peleng Fantail,2020,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhipidura Vigors & Horsfield, 1827')"
"Myzomela wahe Rheindt, Prawiradilaga, Ashari, Suparno & Wu, MY, 2020",Taliabu Myzomela,2020,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myzomela Vigors & Horsfield, 1827')"
"Cygnus buccinator Richardson, 1831",Trumpeter Swan,1831,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cygnus Garsault, 1764')"
"Larus brachyrhynchus Richardson, 1831",Short-billed Gull,1831,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Larus Linnaeus, 1758')"
"Cinnyris nectarinioides Richmond, 1897",Black-bellied Sunbird,1897,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cinnyris Cuvier, 1816')"
"Tyrannus cubensis Richmond, 1898",Giant Kingbird,1898,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Tyrannus Lacpde, 1799')"
"Amazona imperialis Richmond, 1899",Imperial Amazon,1899,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Amazona Lesson, RP, 1830')"
"Pachyramphus salvini Richmond, 1899",Cryptic Becard,1899,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pachyramphus Gray, GR, 1839')"
"Geothlypis nelsoni Richmond, 1900",Hooded Yellowthroat,1900,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geothlypis Cabanis, 1847')"
"Spilornis klossi Richmond, 1902",Great Nicobar Serpent Eagle,1902,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Spilornis Gray, GR, 1840')"
"Psittinus abbotti Richmond, 1902",Simeulue Parrot,1902,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Psittinus Blyth, 1842')"
"Collocalia dodgei Richmond, 1905",Bornean Swiftlet,1905,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Collocalia Gray, GR, 1840')"
"Brachypteryx sinensis Rickett, 1897",Chinese Shortwing,1897,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Brachypteryx Horsfield, 1821')"
"Pyrrhura orcesi Ridgely & Robbins, 1988",El Oro Parakeet,1988,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pyrrhura Bonaparte, 1856')"
"Anas fulvigula Ridgway, 1874",Mottled Duck,1874,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anas Linnaeus, 1758')"
"Rallus obsoletus Ridgway, 1874",Ridgways Rail,1874,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rallus Linnaeus, 1758')"
"Rallus tenuirostris Ridgway, 1874",Aztec Rail,1874,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rallus Linnaeus, 1758')"
"Leucosticte atrata Ridgway, 1874",Black Rosy Finch,1874,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Leucosticte Swainson, 1832')"
"Leucosticte australis Ridgway, 1874",Brown-capped Rosy Finch,1874,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Leucosticte Swainson, 1832')"
"Junco insularis Ridgway, 1876",Guadalupe Junco,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Junco Wagler, 1831')"
"Pseudocolaptes lawrencii Ridgway, 1878",Buffy Tuftedcheek,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pseudocolaptes Reichenbach, 1853')"
"Myiarchus nuttingi Ridgway, 1882",Nuttings Flycatcher,1882,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiarchus Cabanis, 1844')"
"Chasiempis sclateri Ridgway, 1882",Kauai Elepaio,1882,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chasiempis Cabanis, 1847')"
"Troglodytes ochraceus Ridgway, 1882",Ochraceous Wren,1882,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Troglodytes Vieillot, 1809')"
"Geothlypis beldingi Ridgway, 1882",Beldings Yellowthroat,1882,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geothlypis Cabanis, 1847')"
"Acanthidops bairdi Ridgway, 1882",Peg-billed Finch,1882,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Acanthidops Ridgway, 1882')"
"Junco bairdi Ridgway, 1883",Bairds Junco,1883,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Junco Wagler, 1831')"
"Carpodectes antoniae Ridgway, 1884",Yellow-billed Cotinga,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Carpodectes Salvin, 1865')"
"Vireo approximans Ridgway, 1884",Providencia Vireo,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Vireo Vieillot, 1808')"
"Plectrophenax hyperboreus Ridgway, 1884",McKays Bunting,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Plectrophenax Stejneger, 1882')"
"Spizella wortheni Ridgway, 1884",Worthens Sparrow,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Spizella Bonaparte, 1832')"
"Vireo bairdi Ridgway, 1885",Cozumel Vireo,1885,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Vireo Vieillot, 1808')"
"Anas diazi Ridgway, 1886",Mexican Duck,1886,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anas Linnaeus, 1758')"
"Amazona oratrix Ridgway, 1887",Yellow-headed Amazon,1887,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Amazona Lesson, RP, 1830')"
"Phacellodomus inornatus Ridgway, 1887",Plain Thornbird,1887,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phacellodomus Reichenbach, 1853')"
"Cotinga ridgwayi Ridgway, 1887",Turquoise Cotinga,1887,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cotinga Brisson, 1760')"
"Phrygilus punensis Ridgway, 1887",Peruvian Sierra Finch,1887,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phrygilus Cabanis, 1844')"
"Rhegmatorhina gymnops Ridgway, 1888",Bare-eyed Antbird,1888,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhegmatorhina Ridgway, 1888')"
"Zeledonia coronata Ridgway, 1889",Wrenthrush,1889,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zeledonia Ridgway, 1889')"
"Camarhynchus pauper Ridgway, 1890",Medium Tree Finch,1890,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Camarhynchus Gould, 1837')"
"Geospiza conirostris Ridgway, 1890",Espanola Cactus Finch,1890,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geospiza Gould, 1837')"
"Scytalopus argentifrons Ridgway, 1891",Silvery-fronted Tapaculo,1891,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Scytalopus Gould, 1837')"
"Cypseloides cherriei Ridgway, 1893",Spot-fronted Swift,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cypseloides Streubel, 1848')"
"Formicarius nigricapillus Ridgway, 1893",Black-headed Antthrush,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Formicarius Boddaert, 1783')"
"Foudia aldabrana Ridgway, 1893",Aldabra Fody,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Foudia Reichenbach, 1850')"
"Zosterops aldabrensis Ridgway, 1894",Aldabra White-eye,1894,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zosterops Vigors & Horsfield, 1827')"
"Geospiza acutirostris Ridgway, 1894",Genovesa Ground Finch,1894,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geospiza Gould, 1837')"
"Geospiza propinqua Ridgway, 1894",Genovesa Cactus Finch,1894,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geospiza Gould, 1837')"
"Geothlypis flavovelata Ridgway, 1896",Altamira Yellowthroat,1896,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geothlypis Cabanis, 1847')"
"Puffinus subalaris Ridgway, 1897",Galapagos Shearwater,1897,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Puffinus Brisson, 1760')"
"Nyctibius maculosus Ridgway, 1912",Andean Potoo,1912,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Nyctibius Vieillot, 1816')"
"Myiarchus nugator Riley, 1904",Grenada Flycatcher,1904,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiarchus Cabanis, 1844')"
"Loxia megaplaga Riley, 1916",Hispaniolan Crossbill,1916,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Loxia Linnaeus, 1758')"
"Coracornis raveni Riley, 1918",Maroon-backed Whistler,1918,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Coracornis Riley, 1918')"
"Scolopax celebensis Riley, 1921",Sulawesi Woodcock,1921,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Scolopax Linnaeus, 1758')"
"Liocichla omeiensis Riley, 1926",Emei Shan Liocichla,1926,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Liocichla Swinhoe, 1877')"
"Otus enganensis Riley, 1927",Enggano Scops Owl,1927,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Otus Pennant, 1769')"
"Arborophila diversa Riley, 1930",Siamese Partridge,1930,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Arborophila Hodgson, 1837')"
"Garrulax ferrarius Riley, 1930",Cambodian Laughingthrush,1930,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Garrulax Lesson, RP, 1831')"
"Ptilinopus arcanus Ripley & Rabor, 1955",Negros Fruit Dove,1955,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ptilinopus Swainson, 1825')"
"Erythrura coloria Ripley & Rabor, 1961",Red-eared Parrotfinch,1961,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Erythrura Swainson, 1837')"
"Dicaeum proprium Ripley & Rabor, 1966",Whiskered Flowerpecker,1966,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dicaeum Cuvier, 1816')"
"Otus mirus Ripley & Rabor, 1968",Mindanao Scops Owl,1968,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Otus Pennant, 1769')"
"Micromacronus sordidus Ripley & Rabor, 1968",Mindanao Miniature Babbler,1968,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Micromacronus Amadon, 1962')"
"Spelaeornis badeigularis Ripley, 1948",Mishmi Wren-Babbler,1948,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Spelaeornis David, A & Oustalet, 1877')"
"Apus berliozi Ripley, 1966",Forbes-Watsons Swift,1966,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Apus Scopoli, 1777')"
"Otus ireneae Ripley, 1966",Sokoke Scops Owl,1966,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Otus Pennant, 1769')"
"Alcippe fratercula Rippon, 1900",Yunnan Fulvetta,1900,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Alcippe Blyth, 1844')"
"Sitta victoriae Rippon, 1904",White-browed Nuthatch,1904,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sitta Linnaeus, 1758')"
"Glaucidium parkeri Robbins & Howell, SNG, 1995",Subtropical Pygmy Owl,1995,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Glaucidium Boie, F, 1826')"
"Glaucidium nubicola Robbins & Stiles, 1999",Cloud-forest Pygmy Owl,1999,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Glaucidium Boie, F, 1826')"
"Grallaria sinaensis Robbins, Isler, ML, Chesser & Tobias, 2020",Puno Antpitta,2020,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Grallaria Vieillot, 1816')"
"Doliornis remseni Robbins, Rosenberg, GH & Sornoza-Molina, 1994",Chestnut-bellied Cotinga,1994,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Doliornis Taczanowski, 1874')"
"Certhilauda brevirostris Roberts, 1941",Agulhas Long-billed Lark,1941,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Certhilauda Swainson, 1827')"
"Diomedea antipodensis Robertson, CJR & Warham, 1992",Antipodean Albatross,1992,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Diomedea Linnaeus, 1758')"
"Cyornis montanus Robinson & Kinnear, 1928",Dayak Blue Flycatcher,1928,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cyornis Blyth, 1843')"
"Cutia legalleni Robinson & Kloss, 1919",Vietnamese Cutia,1919,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cutia Hodgson, 1837')"
"Trochalopteron yersini Robinson & Kloss, 1919",Collared Laughingthrush,1919,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Trochalopteron Blyth, 1843')"
"Garrulax milleti Robinson & Kloss, 1919",Black-hooded Laughingthrush,1919,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Garrulax Lesson, RP, 1831')"
"Turnix olivii Robinson, 1900",Buff-breasted Buttonquail,1900,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Turnix Bonnaterre, 1791')"
"Lepidocolaptes fatimalimae Rodrigues, Aleixo, Whittaker & Naka, 2013",Inambari Woodcreeper,2013,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lepidocolaptes Reichenbach, 1853')"
"Cacatua goffiniana Roselaar & Michels, 2004",Tanimbar Corella,2004,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cacatua Vieillot, 1817')"
"Scytalopus frankeae Rosenberg, KV, Davis, TJ, Rosenberg, GH, Hosner, Robbins, Valqui & Lane, 2020",Jalca Tapaculo,2020,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Scytalopus Gould, 1837')"
"Salvadorina waigiuensis Rothschild & Hartert, EJO, 1894",Salvadoris Teal,1894,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Salvadorina Rothschild & Hartert, EJO, 1894')"
"Geospiza septentrionalis Rothschild & Hartert, EJO, 1899",Vampire Ground Finch,1899,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geospiza Gould, 1837')"
"Erythrura papuana Rothschild & Hartert, EJO, 1900",Papuan Parrotfinch,1900,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Erythrura Swainson, 1837')"
"Ceyx collectoris Rothschild & Hartert, EJO, 1901",New Georgia Dwarf Kingfisher,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ceyx Lacpde, 1799')"
"Myzomela eichhorni Rothschild & Hartert, EJO, 1901",Crimson-rumped Myzomela,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myzomela Vigors & Horsfield, 1827')"
"Zosterops kulambangrae Rothschild & Hartert, EJO, 1901",Solomons White-eye,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zosterops Vigors & Horsfield, 1827')"
"Manucodia alter Rothschild & Hartert, EJO, 1903",Tagula Manucode,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Manucodia Boddaert, 1783')"
"Ceyx nigromaxilla Rothschild & Hartert, EJO, 1905",Guadalcanal Dwarf Kingfisher,1905,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ceyx Lacpde, 1799')"
"Henicophaps foersteri Rothschild & Hartert, EJO, 1906",New Britain Bronzewing,1906,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Henicophaps Gray, GR, 1862')"
"Pyrrhula owstoni Rothschild & Hartert, EJO, 1907",Taiwan Bullfinch,1907,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pyrrhula Brisson, 1760')"
"Melipotes ater Rothschild & Hartert, EJO, 1911",Spangled Honeyeater,1911,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melipotes Sclater, PL, 1874')"
"Paradigalla brevicauda Rothschild & Hartert, EJO, 1911",Short-tailed Paradigalla,1911,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Paradigalla Lesson, RP, 1835')"
"Tyto manusi Rothschild & Hartert, EJO, 1914",Manus Masked Owl,1914,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Tyto Billberg, 1828')"
"Ninox meeki Rothschild & Hartert, EJO, 1914",Manus Boobook,1914,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ninox Hodgson, 1837')"
"Ceyx dispar Rothschild & Hartert, EJO, 1914",Manus Dwarf Kingfisher,1914,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ceyx Lacpde, 1799')"
"Ceyx mulcatus Rothschild & Hartert, EJO, 1914",New Ireland Dwarf Kingfisher,1914,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ceyx Lacpde, 1799')"
"Micropsitta meeki Rothschild & Hartert, EJO, 1914",Meeks Pygmy Parrot,1914,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Micropsitta Lesson, RP, 1831')"
"Pitta superba Rothschild & Hartert, EJO, 1914",Superb Pitta,1914,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pitta Vieillot, 1816')"
"Edolisoma admiralitatis Rothschild & Hartert, EJO, 1914",Admiralty Cicadabird,1914,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Edolisoma Pucheran, 1853')"
"Philemon eichhorni Rothschild & Hartert, EJO, 1924",New Ireland Friarbird,1924,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Philemon Vieillot, 1816')"
"Lalage conjuncta Rothschild & Hartert, EJO, 1924",Mussau Triller,1924,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lalage Boie, F, 1826')"
"Accipiter luteoschistaceus Rothschild & Hartert, EJO, 1926",Slaty-mantled Goshawk,1926,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Accipiter Brisson, 1760')"
"Anas laysanensis Rothschild, 1892",Laysan Duck,1892,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anas Linnaeus, 1758')"
"Rhodacanthis flaviceps Rothschild, 1892",Lesser Koa Finch,1892,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhodacanthis Rothschild, 1892')"
"Rhodacanthis palmeri Rothschild, 1892",Greater Koa Finch,1892,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhodacanthis Rothschild, 1892')"
"Himatione fraithii Rothschild, 1892",Laysan Honeycreeper,1892,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Himatione Cabanis, 1851')"
"Viridonia sagittirostris Rothschild, 1892",Greater Amakihi,1892,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Viridonia Rothschild, 1892')"
"Cyanoramphus forbesi Rothschild, 1893",Chatham Parakeet,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cyanoramphus Bonaparte, 1854')"
"Hemignathus affinis Rothschild, 1893",Maui Nukupuu,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hemignathus Lichtenstein, MHC, 1839')"
"Pseudonestor xanthophrys Rothschild, 1893",Maui Parrotbill,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pseudonestor Rothschild, 1893')"
"Loxops wolstenholmei Rothschild, 1893",Oahu Akepa,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Loxops Cabanis, 1847')"
"Loxops ochraceus Rothschild, 1893",Maui Akepa,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Loxops Cabanis, 1847')"
"Traversia lyalli Rothschild, 1894",Lyalls Wren,1894,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Traversia Rothschild, 1894')"
"Hypotaenidia owstoni Rothschild, 1895",Guam Rail,1895,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hypotaenidia Reichenbach, 1853')"
"Uratelornis chimaera Rothschild, 1895",Long-tailed Ground Roller,1895,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Uratelornis Rothschild, 1895')"
"Ailuroedus jobiensis Rothschild, 1895",Northern Catbird,1895,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ailuroedus Cabanis, 1851')"
"Amblyornis flavifrons Rothschild, 1895",Golden-fronted Bowerbird,1895,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Amblyornis Elliot, DG, 1872')"
"Astrapia splendidissima Rothschild, 1895",Splendid Astrapia,1895,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Astrapia Vieillot, 1816')"
"Ptilinopus dohertyi Rothschild, 1896",Red-naped Fruit Dove,1896,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ptilinopus Swainson, 1825')"
"Psittacella picta Rothschild, 1896",Painted Tiger Parrot,1896,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Psittacella Schlegel, 1871')"
"Loboparadisea sericea Rothschild, 1896",Yellow-breasted Satinbird,1896,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Loboparadisea Rothschild, 1896')"
"Ptilinopus mangoliensis Rothschild, 1898",Sula Fruit Dove,1898,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ptilinopus Swainson, 1825')"
"Rhyticeros everetti Rothschild, 1898",Sumba Hornbill,1898,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhyticeros Reichenbach, 1849')"
"Geokichla dumasi Rothschild, 1899",Buru Thrush,1899,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geokichla Mller, S, 1836')"
"Lalage sharpei Rothschild, 1900",Samoan Triller,1900,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lalage Boie, F, 1826')"
"Leptotila battyi Rothschild, 1901",Azuero Dove,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Leptotila Swainson, 1837')"
"Ceyx meeki Rothschild, 1901",North Solomons Dwarf Kingfisher,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ceyx Lacpde, 1799')"
"Pitta anerythra Rothschild, 1901",Black-faced Pitta,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pitta Vieillot, 1816')"
"Rheinardia nigrescens Rothschild, 1902",Malayan Crested Argus,1902,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rheinardia Maingonnat, 1882')"
"Sula granti Rothschild, 1902",Nazca Booby,1902,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sula Brisson, 1760')"
"Hypotaenidia wakensis Rothschild, 1903",Wake Island Rail,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hypotaenidia Reichenbach, 1853')"
"Myzomela kuehni Rothschild, 1903",Wetar Myzomela,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myzomela Vigors & Horsfield, 1827')"
"Microgoura meeki Rothschild, 1904",Choiseul Pigeon,1904,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Microgoura Rothschild, 1904')"
"Prioniturus waterstradti Rothschild, 1904",Mindanao Racket-tail,1904,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Prioniturus Wagler, 1832')"
"Corvus meeki Rothschild, 1904",Bougainville Crow,1904,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Corvus Linnaeus, 1758')"
"Polyplectron katsumatae Rothschild, 1906",Hainan Peacock-Pheasant,1906,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Polyplectron Temminck, 1807')"
"Parotia wahnesi Rothschild, 1906",Wahness Parotia,1906,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Parotia Vieillot, 1816')"
"Pseudocalyptomena graueri Rothschild, 1909",Grauers Broadbill,1909,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pseudocalyptomena Rothschild, 1909')"
"Amblyornis germanus Rothschild, 1910",Huon Bowerbird,1910,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Amblyornis Elliot, DG, 1872')"
"Foudia omissa Rothschild, 1912",Forest Fody,1912,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Foudia Reichenbach, 1850')"
"Coenocorypha iredalei Rothschild, 1921",South Island Snipe,1921,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Coenocorypha Gray, GR, 1855')"
"Phylloscopus forresti Rothschild, 1921",Sichuan Leaf Warbler,1921,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylloscopus Boie, F, 1826')"
"Yuhina bakeri Rothschild, 1926",White-naped Yuhina,1926,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Yuhina Hodgson, 1836')"
"Diomedea amsterdamensis Roux, JP, Jouventin, Mougin, Stahl & Weimerskirch, 1983",Amsterdam Albatross,1983,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Diomedea Linnaeus, 1758')"
"Eupherusa cyanophrys Rowley, JS & Orr, 1964",Oaxaca Hummingbird,1964,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Eupherusa Gould, 1857')"
"Turdus albocinctus Royle, 1840",White-collared Blackbird,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Turdus Linnaeus, 1758')"
"Buteo trizonatus Rudebeck, 1957",Forest Buzzard,1957,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Buteo Lacpde, 1799')"
"Podiceps gallardoi Rumboll, 1974",Hooded Grebe,1974,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Podiceps Latham, 1787')"
"Campylopterus diamantinensis Ruschi, 1963",Diamantina Sabrewing,1963,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Campylopterus Swainson, 1827')"
"Caprimulgus solala Safford, Ash, Duckworth, Telfer & Zewdie, 1995",Nechisar Nightjar,1995,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Caprimulgus Linnaeus, 1758')"
"Vireo masteri Salaman & Stiles, 1996",Choco Vireo,1996,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Vireo Vieillot, 1808')"
"Henicorhina negreti Salaman, Coopmans, Donegan, Mulligan, Corts-Diago, Hilty & Ortega, 2003",Munchique Wood Wren,2003,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Henicorhina Sclater, PL & Salvin, 1868')"
