scientific_name,common_name,year_discovered,genus_scientific_name
"Ficedula owstoni (Bangs, 1901)",Ryukyu Flycatcher,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ficedula Brisson, 1760')"
"Cantorchilus elutus (Bangs, 1902)",Isthmian Wren,1902,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cantorchilus Mann, NI, Barker, Graves, JA, Dingess-Mann & Slater, PJB, 2006')"
"Thryorchilus browni (Bangs, 1902)",Timberline Wren,1902,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Thryorchilus Oberholser, 1904')"
"Cranioleuca hellmayri (Bangs, 1907)",Streak-capped Spinetail,1907,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cranioleuca Reichenbach, 1853')"
"Arremon costaricensis (Bangs, 1907)",Costa Rican Brushfinch,1907,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Arremon Vieillot, 1816')"
"Calendulauda burra (Bangs, 1930)",Red Lark,1930,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Calendulauda Blyth, 1855')"
"Mustelirallus cerverai (Barbour & Peters, JL, 1927)",Zapata Rail,1927,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Mustelirallus Bonaparte, 1856')"
"Turdoides hartlaubii (Barboza du Bocage, 1868)",Hartlaubs Babbler,1868,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Turdoides Cretzschmar, 1826')"
"Cinnyris ludovicensis (Barboza du Bocage, 1868)",Ludwigs Double-collared Sunbird,1868,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cinnyris Cuvier, 1816')"
"Pternistis hartlaubi (Barboza du Bocage, 1869)",Hartlaubs Spurfowl,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pternistis Wagler, 1832')"
"Stactolaema anchietae (Barboza du Bocage, 1869)",Anchietas Barbet,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Stactolaema Marshall, CHT & Marshall, GFL, 1870')"
"Lamprotornis acuticaudus (Barboza du Bocage, 1869)",Sharp-tailed Starling,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lamprotornis Temminck, 1820')"
"Neocichla gutturalis (Barboza du Bocage, 1871)",Babbling Starling,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Neocichla Sharpe, 1876')"
"Batis minulla (Barboza du Bocage, 1874)",Angola Batis,1874,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Batis Boie, F, 1833')"
"Hydrobates jabejabe (Barboza du Bocage, 1875)",Cape Verde Storm Petrel,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hydrobates Boie, F, 1822')"
"Ploceus albinucha (Barboza du Bocage, 1876)",Maxwells Black Weaver,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ploceus Cuvier, 1816')"
"Melaniparus rufiventris (Barboza du Bocage, 1877)",Rufous-bellied Tit,1877,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melaniparus Bonaparte, 1850')"
"Petrochelidon rufigula (Barboza du Bocage, 1878)",Red-throated Cliff Swallow,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Petrochelidon Cabanis, 1851')"
"Salpornis salvadori (Barboza du Bocage, 1878)",African Spotted Creeper,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Salpornis Gray, GR, 1847')"
"Anthreptes anchietae (Barboza du Bocage, 1878)",Anchietas Sunbird,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anthreptes Swainson, 1832')"
